Date,Price,Open,High,Low,Vol.,Volume,Change %
2017-04-13,"25,510.01","25,496.82","25,530.34","25,438.52",349.28M,349280000,0.05%
2017-04-12,"25,496.71","25,478.06","25,514.28","25,441.66",247.66M,247660000,0.07%
2017-04-11,"25,478.06","25,626.37","25,637.96","25,468.88",402.67M,402670000,-0.58%
2017-04-10,"25,626.37","25,746.52","25,749.87","25,575.33",191.83M,191830000,-0.47%
2017-04-07,"25,746.52","25,755.18","25,818.98","25,656.23",107.94M,107940000,-0.03%
2017-04-06,"25,755.18","25,471.69","25,764.45","25,471.69",241.51M,241510000,1.11%
2017-04-05,"25,471.69","25,266.15","25,471.69","25,255.52",158.70M,158700000,0.81%
2017-04-04,"25,266.15","25,273.03","25,339.70","25,243.18",180.12M,180120000,-0.03%
2017-04-03,"25,273.03","25,516.34","25,555.73","25,251.19",97.69M,97690000,-0.95%
2017-03-31,"25,516.34","25,533.82","25,561.99","25,444.13",377.51M,377510000,-0.07%
2017-03-30,"25,533.82","25,267.68","25,533.82","25,212.17",294.18M,294180000,1.05%
2017-03-29,"25,267.68","25,406.72","25,415.22","25,214.59",521.66M,521660000,-0.55%
2017-03-28,"25,406.72","25,485.17","25,514.97","25,303.19",191.95M,191950000,-0.31%
2017-03-27,"25,485.17","25,454.93","25,497.56","25,406.27",557.06M,557060000,0.12%
2017-03-24,"25,454.93","25,512.69","25,516.94","25,380.58",142.00M,142000000,-0.23%
2017-03-23,"25,514.03","25,514.09","25,558.33","25,453.07",115.11M,115110000,0.00%
2017-03-22,"25,514.09","25,558.57","25,561.25","25,495.57",198.84M,198840000,-0.17%
2017-03-21,"25,558.57","25,671.55","25,680.63","25,484.90",153.72M,153720000,-0.44%
2017-03-20,"25,671.55","25,653.16","25,671.55","25,549.65",495.24M,495240000,0.07%
2017-03-17,"25,653.16","25,418.08","25,678.51","25,408.44",151.38M,151380000,0.92%
2017-03-16,"25,418.08","25,301.23","25,469.06","25,278.87",279.95M,279950000,0.46%
2017-03-15,"25,301.23","25,284.56","25,315.56","25,235.94",233.78M,233780000,0.07%
2017-03-14,"25,284.56","25,136.63","25,284.56","25,041.41",227.76M,227760000,0.59%
2017-03-13,"25,136.63","25,238.01","25,238.85","25,062.25",135.40M,135400000,-0.40%
2017-03-10,"25,238.01","25,170.36","25,543.40","25,167.17",245.39M,245390000,0.27%
2017-03-09,"25,170.36","24,986.02","25,292.47","24,877.20",215.91M,215910000,0.74%
2017-03-08,"24,986.02","25,129.27","25,169.10","24,932.24",218.72M,218720000,-0.57%
2017-03-07,"25,129.27","24,581.99","25,129.27","24,547.37",215.36M,215360000,2.23%
2017-03-06,"24,581.99","25,012.08","25,136.10","24,568.07",128.16M,128160000,-1.72%
2017-03-03,"25,012.08","24,829.59","25,037.40","24,829.59",274.17M,274170000,0.73%
2017-03-02,"24,829.59","25,183.10","25,204.97","24,762.07",186.00M,186000000,-1.40%
2017-03-01,"25,183.10","25,329.08","25,351.80","25,183.10",228.02M,228020000,-0.58%
2017-02-28,"25,329.08","25,373.42","25,402.89","25,286.61",444.50M,444500000,-0.17%
2017-02-27,"25,373.42","25,250.37","25,382.73","25,218.23",254.75M,254750000,0.49%
2017-02-24,"25,250.37","25,409.06","25,417.10","25,223.02",259.31M,259310000,-0.62%
2017-02-23,"25,409.06","25,249.74","25,409.06","25,204.33",146.71M,146710000,0.63%
2017-02-22,"25,249.74","25,251.63","25,263.49","25,181.34",118.46M,118460000,-0.01%
2017-02-21,"25,251.63","25,249.49","25,323.81","25,181.86",125.15M,125150000,0.01%
2017-02-20,"25,249.49","25,164.91","25,273.94","25,128.57",103.36M,103360000,0.34%
2017-02-17,"25,164.91","25,055.29","25,188.29","25,025.87",480.00M,480000000,0.44%
2017-02-16,"25,055.29","25,130.26","25,171.26","25,041.74",144.39M,144390000,-0.30%
2017-02-15,"25,130.26","25,032.17","25,130.26","24,962.19",161.84M,161840000,0.39%
2017-02-14,"25,032.17","25,244.29","25,246.17","25,000.95",144.89M,144890000,-0.84%
2017-02-13,"25,244.65","25,340.02","25,475.13","25,232.94",141.91M,141910000,-0.38%
2017-02-10,"25,340.02","25,322.30","25,350.03","25,204.41",201.73M,201730000,0.07%
2017-02-09,"25,322.30","25,460.45","25,472.15","25,257.02",142.83M,142830000,-0.54%
2017-02-08,"25,460.45","25,446.66","25,511.10","25,424.96",347.82M,347820000,0.05%
2017-02-07,"25,446.66","25,587.09","25,595.97","25,380.40",207.18M,207180000,-0.55%
2017-02-06,"25,587.09","25,802.54","25,812.09","25,575.20",152.36M,152360000,-0.83%
2017-02-03,"25,802.54","25,936.24","26,084.39","25,790.59",144.47M,144470000,-0.52%
2017-02-02,"25,936.24","25,903.55","25,936.24","25,750.45",151.50M,151500000,0.13%
2017-02-01,"25,903.55","26,036.24","26,084.25","25,800.68",246.36M,246360000,-0.51%
2017-01-31,"26,036.24","26,217.18","26,244.80","25,912.22",205.75M,205750000,-0.69%
2017-01-30,"26,217.18","26,328.22","26,339.35","26,191.13",143.52M,143520000,-0.42%
2017-01-27,"26,328.22","26,289.95","26,361.45","26,277.08",237.79M,237790000,0.15%
2017-01-26,"26,289.95","26,240.45","26,295.29","26,211.25",146.49M,146490000,0.19%
2017-01-25,"26,240.45","26,217.54","26,248.36","26,214.85",189.99M,189990000,0.09%
2017-01-24,"26,217.54","26,231.37","26,296.54","26,122.99",187.70M,187700000,-0.05%
2017-01-23,"26,231.37","26,223.54","26,231.37","26,107.29",228.59M,228590000,0.03%
2017-01-20,"26,223.54","26,201.60","26,228.41","26,160.76",203.19M,203190000,0.08%
2017-01-19,"26,201.60","26,245.34","26,246.42","26,168.49",196.46M,196460000,-0.17%
2017-01-18,"26,245.34","26,278.20","26,308.87","26,236.00",394.82M,394820000,-0.13%
2017-01-17,"26,278.20","26,373.83","26,375.68","26,271.52",371.87M,371870000,-0.36%
2017-01-16,"26,373.83","26,325.93","26,378.56","26,325.93",174.00M,174000000,0.18%
2017-01-13,"26,325.93","26,330.15","26,350.33","26,278.04",148.57M,148570000,-0.02%
2017-01-12,"26,330.39","26,385.80","26,414.92","26,305.65",179.33M,179330000,-0.21%
2017-01-11,"26,385.80","26,346.24","26,411.21","26,325.21",197.45M,197450000,0.15%
2017-01-10,"26,346.24","26,580.22","26,628.85","26,338.81",279.34M,279340000,-0.88%
2017-01-09,"26,580.22","26,251.39","26,580.22","26,244.67",209.02M,209020000,1.25%
2017-01-06,"26,251.39","26,212.09","26,285.49","26,203.89",210.21M,210210000,0.15%
2017-01-05,"26,212.09","26,495.04","26,623.98","26,212.09",137.69M,137690000,-1.07%
2017-01-04,"26,495.04","26,616.89","26,648.35","26,492.45",62.09M,62090000,-0.46%
2017-01-03,"26,616.89","26,874.62","26,874.62","26,574.27",106.43M,106430000,-0.96%
2016-12-30,"26,874.62","26,782.93","26,874.62","26,704.01",106.30M,106300000,0.34%
2016-12-29,"26,782.93","26,688.25","26,790.54","26,648.64",116.89M,116890000,0.35%
2016-12-28,"26,688.25","26,488.95","26,701.53","26,488.95",130.64M,130640000,0.76%
2016-12-23,"26,486.02","26,464.82","26,642.26","26,431.77",138.91M,138910000,0.08%
2016-12-22,"26,464.82","26,418.11","26,490.12","26,415.92",188.68M,188680000,0.18%
2016-12-21,"26,418.11","26,529.94","26,529.94","26,395.79",421.18M,421180000,-0.46%
2016-12-20,"26,540.87","26,586.56","26,602.42","26,509.70",248.71M,248710000,-0.17%
2016-12-19,"26,586.56","26,707.10","26,707.10","26,543.01",262.90M,262900000,-0.45%
2016-12-16,"26,707.10","26,559.01","26,722.77","26,413.42",874.34M,874340000,0.56%
2016-12-15,"26,559.01","26,407.64","26,578.78","26,363.99",199.98M,199980000,0.57%
2016-12-14,"26,407.64","26,071.16","26,407.64","26,068.56",205.33M,205330000,1.29%
2016-12-13,"26,071.16","25,817.69","26,071.21","25,817.69",376.70M,376700000,0.98%
2016-12-09,"25,817.69","25,739.18","25,817.69","25,684.15",108.52M,108520000,0.31%
2016-12-08,"25,739.18","25,673.80","25,809.18","25,638.37",166.00M,166000000,0.25%
2016-12-07,"25,673.80","25,671.23","25,746.46","25,669.87",255.73M,255730000,0.01%
2016-12-06,"25,671.23","25,743.03","25,807.65","25,664.94",189.40M,189400000,-0.28%
2016-12-05,"25,743.03","25,740.83","25,845.35","25,706.17",175.05M,175050000,0.01%
2016-12-02,"25,740.83","25,265.08","25,926.12","25,154.17",576.38M,576380000,1.88%
2016-12-01,"25,265.08","25,241.63","25,267.75","25,212.02",773.87M,773870000,0.09%
2016-11-30,"25,241.63","25,233.42","25,362.12","25,198.36",414.13M,414130000,0.03%
2016-11-29,"25,233.42","25,318.41","25,318.41","25,188.20",511.58M,511580000,-0.34%
2016-11-28,"25,318.41","25,330.87","25,358.67","25,273.71",202.43M,202430000,-0.06%
2016-11-25,"25,333.39","25,490.70","25,501.92","25,312.28",144.16M,144160000,-0.62%
2016-11-24,"25,490.70","25,517.00","25,523.13","25,465.67",97.14M,97140000,-0.10%
2016-11-23,"25,517.00","25,461.34","25,541.06","25,427.04",165.72M,165720000,0.21%
2016-11-22,"25,462.28","25,499.00","25,499.00","25,426.12",120.93M,120930000,-0.17%
2016-11-21,"25,505.91","25,537.54","25,537.77","25,486.53",112.44M,112440000,-0.12%
2016-11-18,"25,537.54","25,599.79","25,609.33","25,527.83",165.58M,165580000,-0.24%
2016-11-17,"25,599.79","25,653.14","25,661.40","25,595.39",161.59M,161590000,-0.21%
2016-11-16,"25,653.14","25,857.06","25,857.86","25,632.09",145.74M,145740000,-0.79%
2016-11-15,"25,857.06","25,986.81","26,027.55","25,795.52",189.73M,189730000,-0.50%
2016-11-14,"25,986.81","26,170.88","26,239.39","25,973.27",160.91M,160910000,-0.70%
2016-11-11,"26,170.88","26,221.75","26,278.62","26,137.33",199.92M,199920000,-0.19%
2016-11-10,"26,221.75","26,173.69","26,327.35","26,142.94",137.64M,137640000,0.18%
2016-11-09,"26,173.69","26,364.27","26,371.37","26,083.76",146.11M,146110000,-0.72%
2016-11-08,"26,364.27","26,884.58","26,887.88","26,331.97",189.01M,189010000,-1.95%
2016-11-07,"26,887.54","26,981.60","26,982.08","26,872.46",115.04M,115040000,-0.35%
2016-11-04,"26,981.60","27,044.36","27,044.36","26,896.11",151.85M,151850000,-0.23%
2016-11-03,"27,044.36","27,223.08","27,592.42","27,031.60",112.52M,112520000,-0.66%
2016-11-02,"27,223.08","27,252.48","27,309.00","27,211.28",202.70M,202700000,-0.11%
2016-11-01,"27,252.48","27,219.69","27,277.25","27,196.56",186.86M,186860000,0.12%
2016-10-31,"27,220.09","27,294.21","27,317.10","27,215.56",219.90M,219900000,-0.27%
2016-10-28,"27,294.21","27,236.78","27,296.32","27,192.46",148.45M,148450000,0.21%
2016-10-27,"27,236.78","27,120.39","27,242.02","27,080.20",155.59M,155590000,0.43%
2016-10-26,"27,120.39","27,098.52","27,121.77","27,007.21",159.99M,159990000,0.08%
2016-10-25,"27,098.52","27,575.07","27,588.24","27,093.23",112.43M,112430000,-1.73%
2016-10-24,"27,575.03","27,596.82","27,630.83","27,567.48",101.18M,101180000,-0.08%
2016-10-21,"27,596.82","27,598.34","27,627.63","27,573.06",70.94M,70940000,-0.01%
2016-10-20,"27,598.34","27,478.04","27,720.30","27,478.04",111.90M,111900000,0.44%
2016-10-19,"27,478.04","27,555.31","27,557.14","27,460.67",75.01M,75010000,-0.28%
2016-10-18,"27,555.31","27,634.99","27,678.20","27,555.31",154.11M,154110000,-0.29%
2016-10-17,"27,634.99","27,861.03","27,867.50","27,631.05",255.81M,255810000,-0.81%
2016-10-14,"27,861.03","27,854.78","28,264.33","27,821.27",220.85M,220850000,0.02%
2016-10-13,"27,854.78","28,027.23","28,030.72","27,803.76",380.75M,380750000,-0.62%
2016-10-12,"28,027.23","28,034.32","28,058.03","27,921.68",155.58M,155580000,-0.03%
2016-10-11,"28,034.32","27,925.00","28,060.76","27,901.45",234.19M,234190000,0.39%
2016-10-10,"27,925.35","27,835.22","27,953.31","27,808.88",171.46M,171460000,0.32%
2016-10-07,"27,835.22","28,031.90","28,043.08","27,812.39",200.84M,200840000,-0.68%
2016-10-06,"28,026.59","28,009.40","28,065.18","27,936.56",348.80M,348800000,0.06%
2016-10-05,"28,009.40","28,277.93","28,282.16","27,981.39",187.16M,187160000,-0.97%
2016-10-04,"28,283.99","28,335.40","28,346.00","28,217.85",198.10M,198100000,-0.18%
2016-09-30,"28,335.40","28,247.56","28,335.40","27,907.57",217.81M,217810000,0.31%
2016-09-29,"28,247.56","28,236.23","28,299.24","28,168.85",170.37M,170370000,0.04%
